Nate Mohr|| depth = 2
Court McGee|| depth = 2
Thiago Alves|| depth = 2
Martin Kampmann|| depth = 2
Nick Diaz|| depth = 2
Dong Hyun Kim|| depth = 2
Dan Hardy|| depth = 2
Hiromitsu Miura|| depth = 2
Carlo Prater|| depth = 2
John Alessio|| depth = 2
Kyle Jensen|| depth = 2
Tatsunori Tanaka|| depth = 2
Takuya Wada|| depth = 2
Koji Oishi|| depth = 2
Renato Verissimo|| depth = 2
Ross Ebañez|| depth = 2
Chilo Gonzalez|| depth = 2
Masaki Tuchhi|| depth = 2
Randy Hauer|| depth = 2
Will Bradford|| depth = 2
Brandon Melendez|| depth = 2
Jarvis Brennaman|| depth = 2
Brad Gumm|| depth = 2
David Lindemeyer|| depth = 2
Tyrell McElroy|| depth = 2
Anthony Zamora|| depth = 2
Tommy Gouge|| depth = 2
Nick Roscorla|| depth = 2
Curtis Millender|| depth = 2
Neiman Gracie|| depth = 2
Tarec Saffiedine|| depth = 2
Tyron Woodley|| depth = 2
Demian Maia|| depth = 2
B.J. Penn|| depth = 2
Che Mills|| depth = 2
Mike Pyle|| depth = 2
Nate Diaz|| depth = 2
Mike Guymon|| depth = 2
Nick Hinchliffe|| depth = 2
Elmer Waterhen|| depth = 2
Kajan Johnson|| depth = 2
Yoon Heo|| depth = 2
Quinton Moreno|| depth = 2
Jordan Mein|| depth = 2
Ken Tran|| depth = 2
Terry Thiara|| depth = 2
Hector Lombard|| depth = 2
Jon Fitch|| depth = 2
Mike Pierce|| depth = 2
TJ Waldburger|| depth = 2
Charlie Brenneman|| depth = 2
TJ Grant|| depth = 2
Ricardo Funch|| depth = 2
Amir Sadollah|| depth = 2
Alex Serdyukov|| depth = 2
Justin Haskins|| depth = 2
Richard Gamble|| depth = 2
Spencer Cowley|| depth = 2
Victor Rackliff|| depth = 2
Dhiego Lima|| depth = 2
Diego Sanchez|| depth = 2
Tim Means|| depth = 2
Erick Silva|| depth = 2
Mike Swick|| depth = 2
Luis Ramos|| depth = 2
Stephen Thompson|| depth = 2
Chris Cope|| depth = 2
John Howard|| depth = 2
James Wilks|| depth = 2
Pete Sell|| depth = 2
Matt Arroyo|| depth = 2
Dan Kolbasowski|| depth = 2
Jason Nickoson|| depth = 2
Brian King|| depth = 2
Joey Whitt|| depth = 2
Ricardo Martinez|| depth = 2
Nate Marquardt|| depth = 2
Jake Shields|| depth = 2
Sean Pierson|| depth = 2
Carlos Eduardo Rocha|| depth = 2
Marcelo Alfaya|| depth = 2
Brendan Seguin|| depth = 2
Doo Won Seo|| depth = 2
Farouk Lakebir|| depth = 2
Jose Landi-Jons|| depth = 2
Zach Light|| depth = 2
Ben Uker|| depth = 2
Ryan Stout|| depth = 2
Gil Castillo|| depth = 2
Kenneth Allen|| depth = 2
Mark Bear|| depth = 2
Laverne Clark|| depth = 2
Brian Daley|| depth = 2
Evan Boemer|| depth = 2
Brent Shepard|| depth = 2
Deryck Ripley|| depth = 2
Brad Fox|| depth = 2
Cory Simpson|| depth = 2
Cameron Wells|| depth = 2
Cameron VanCamp|| depth = 2
Darrius Flowers|| depth = 2
Justin DeMoney|| depth = 2
Bobby Emmons|| depth = 2
Kyle Kurtz|| depth = 2
Raymond Gray|| depth = 2
Mike Estus|| depth = 2
Justin Gutherie|| depth = 2
Cedric Marks|| depth = 2
Roger Bowling|| depth = 2
Cory Devela|| depth = 2
Erik Apple|| depth = 2
Thomas Aaron|| depth = 2
Dominic Brown|| depth = 2
CJ Fernandes|| depth = 2
Amir Rahnavardi|| depth = 2
Ryan Braun|| depth = 2
Nathan Looker|| depth = 2
Danny Anderson|| depth = 2
Warren Walker|| depth = 2
Ken Jackson|| depth = 2
Ted Worthington|| depth = 2
Jody Lithicum|| depth = 2
Clayton Marrs|| depth = 2
Jack Hodge|| depth = 2
Johnathan Richmond|| depth = 2
Kyle Bradley|| depth = 2
Demi Deeds|| depth = 2
Matt Hughes|| depth = 2
Anthony Johnson|| depth = 2
Yoshiyuki Yoshida|| depth = 2
Dustin Hazelett|| depth = 2
Jeff Joslin|| depth = 2
Jonathan Goulet|| depth = 2
Dave Menne|| depth = 2
Chris Sanford|| depth = 2
Luke Cummo|| depth = 2
Dirlei Broenstrup|| depth = 2
Chris Spång|| depth = 2
Keith Berry|| depth = 2
Anthony Smith|| depth = 2
Ron Stallings|| depth = 2
Evgeny Erokhin|| depth = 2
Aleksandar Radosavljevic|| depth = 2
Shamil Tinagadjiev|| depth = 2
Denys Liadovyi|| depth = 2
Maskhat Akhmetov|| depth = 2
Gadzhimurad Antigulov|| depth = 2
Abbdullah Mahmud|| depth = 2
Kevin Casey|| depth = 2
Fabio Nascimento|| depth = 2
Carlos Newton|| depth = 2
Jeremy Horn|| depth = 2
Mike Van Arsdale|| depth = 2
Fabio Leopoldo|| depth = 2
Antonio Schembri|| depth = 2
Joe Doerksen|| depth = 2
Travis Lutter|| depth = 2
Tony Fryklund|| depth = 2
Ivan Salaverry|| depth = 2
Pat Miletich|| depth = 2
Ricardo Almeida|| depth = 2
Yoji Anjo|| depth = 2
Travis Fulton|| depth = 2
Mark Waters|| depth = 2
Karo Davtyan|| depth = 2
Yannick Bahati|| depth = 2
Kent Kauppinen|| depth = 2
Hisaki Kato|| depth = 2
Doug Marshall|| depth = 2
